id,person_id,planet1_name,planet2_name,aspect_type,degree_difference
1,1,Солнце,Марс,Тригон,117.9
2,1,Луна,Марс,Квадрат,91.1
3,1,Меркурий,Уран,Тригон,120.6
4,1,Венера,Нептун,Тригон,120.7
5,2,Луна,Сатурн,Квадрат,89.8
6,2,Меркурий,Юпитер,Конъюнкция,0.4
7,2,Венера,Сатурн,Секстиль,59.3
8,2,Венера,Уран,Тригон,119
9,2,Марс,Нептун,Тригон,123
10,2,Сатурн,Уран,Секстиль,59.7
11,3,Солнце,Марс,Секстиль,57.5
12,3,Меркурий,Плутон,Квадрат,88.5
13,3,Венера,Нептун,Конъюнкция,0.9
14,3,Юпитер,Нептун,Конъюнкция,2.9
15,3,Юпитер,Плутон,Секстиль,59.6
16,3,Нептун,Плутон,Секстиль,62.6
17,4,Солнце,Луна,Секстиль,60.2
18,4,Солнце,Марс,Тригон,121
19,4,Солнце,Юпитер,Секстиль,62
20,4,Луна,Марс,Секстиль,60.8
21,4,Луна,Юпитер,Конъюнкция,1.8
22,4,Венера,Плутон,Секстиль,57
23,4,Марс,Юпитер,Секстиль,59
24,5,Луна,Уран,Тригон,121.3
25,5,Меркурий,Венера,Секстиль,59.7
26,5,Меркурий,Марс,Секстиль,62.8
27,5,Марс,Юпитер,Секстиль,59.2
28,5,Уран,Плутон,Квадрат,88.8
29,6,Солнце,Сатурн,Конъюнкция,2
30,6,Луна,Юпитер,Квадрат,89.8
31,6,Юпитер,Плутон,Тригон,120.4
32,7,Солнце,Плутон,Секстиль,61.2
33,7,Луна,Венера,Тригон,121.8
34,7,Меркурий,Сатурн,Конъюнкция,1
35,7,Марс,Плутон,Тригон,117.8
36,7,Юпитер,Плутон,Квадрат,87.2
37,8,Луна,Венера,Квадрат,87.3
38,8,Меркурий,Юпитер,Секстиль,62.5
39,8,Марс,Уран,Секстиль,59.3
40,8,Сатурн,Плутон,Оппозиция,179.4
41,9,Солнце,Меркурий,Конъюнкция,0.5
42,9,Солнце,Плутон,Оппозиция,179.7
43,9,Меркурий,Плутон,Оппозиция,179.3
44,9,Венера,Юпитер,Тригон,123
45,9,Марс,Уран,Тригон,118.2
46,10,Солнце,Марс,Секстиль,57.5
47,10,Луна,Меркурий,Оппозиция,178.1
48,10,Марс,Уран,Квадрат,87.6
49,11,Солнце,Луна,Тригон,119.1
50,11,Солнце,Сатурн,Тригон,118.8
51,11,Луна,Сатурн,Тригон,122.1
52,11,Луна,Плутон,Квадрат,92.7
53,11,Марс,Нептун,Квадрат,90.1
54,12,Меркурий,Венера,Секстиль,61.6
55,12,Марс,Сатурн,Конъюнкция,2.9
56,12,Сатурн,Нептун,Квадрат,91.4
57,12,Уран,Плутон,Оппозиция,178.7
58,13,Луна,Марс,Квадрат,90.1
59,13,Меркурий,Нептун,Тригон,117.2
