id,person_id,house_number,meaning,degree
,10581838,1,Личность и внешность,306.48
,10581838,2,Деньги и ценности,336.48
,10581838,3,Образование и коммуникации,6.48
,10581838,4,Семья и дом,36.48
,10581838,5,"Творчество, дети и любовь",66.48
,10581838,6,Работа и здоровье,96.48
,10581838,7,Партнерства и браки,126.48
,10581838,8,Трансформация и ресурсы других людей,156.48
,10581838,9,"Философия, путешествия и высшее образование",186.48
,10581838,10,"Карьера, статус и амбиции",216.48
,10581838,11,Друзья и социальные связи,246.48
,10581838,12,Подсознание и тайные враги,276.48
